id,top_tier_site,site_parent_name,site_name,geo_waterbody
022801c85ffefd699a1480b7e03a043e,Border Esk,Tarras Water,"2125.00 US Tarras Lodge, Tarras Water",GB102077074420
02292ef761bd406530572dcce54c3a3a,River Wey,Area 5,Adult 5,GB106039017780
022ac0726490fd98061ae24df77f5a58,Tamar,Main Lew,Lee,GB108047007770
022cf1ad603c7197fe2237430d809baf,River Tweed,College Burn,College Burn at Sutherland Bridge,GB102021072940
022e51945ad23028d4102e7c41e683b4,River Thames,Datchet Common Brook,Ditton park,""
0232abb21f2527996cacc60b106c5f71,Coastal streams,Newton Beck,25m u/s Easington Beck,GB104027068750
023506735f2f7769ae06525cbd0f0044,River Ribble,River Darwen,D/S Houghton Bottoms,GB112071065300
023c5a8fdb441de9f02311b0ee9b80aa,River Ure,River Ure,Langthorpe (single anode),GB104027064160
0244780e657726ead644b54eab32a60b,River Don catchment,Kearsley Brook,u/s Don confluence,GB104027064242
024c0497c7ae7b10e0c12a8a94b17754,River Calder,Worm Gill,Habitat B,GB112074069740
0257b99cff7807ab7ee37fc59a146636,TRENT,WREAKE/EYE,US Frisby Weir,GB104028047550
025a2dbdf50c69a976e9c1da83b93c72,River Wear,River Wear,Houselop Beck at the Bridge,GB103024077450
025b81188eaef130a1bfdda8756e170d,River Severn,Nethercote Brook,Nethercote Bridge,GB109054039820
025cf41e301c2fa65eaa3f76857c1654,River Don catchment,River Went,Stubbs Walden,GB104027063360
0264faf9be89e2bcd02ebbd70c30843b,River Severn,River Chelt,u/s Bath Road Culvert,GB109054032820
0265ee0ce1f1d386cc428f9526cf9bd2,River Severn,River Teme,Rochford,GB109054044510
026a52098adee8d28a3aeaa886e953d4,River Thames,Monkey island,Monkey Island 4B,GB106039023510
026f61d291b31f44d03ea67606a9fe0b,Rother,Hexden Channel,Lambsland Farm (Hexden Channel),GB107040019670
0273b27dbfc3e63751ec1e2fa7c87625,River Ure,River Ure,Wensley Bridge,GB104027069462
02742e3641e7ea54e3b5d340bd70b587,Bristol Avon Catchment,By Brook main river,Middlehill,GB109053027380
02793140c7cf8db497a4d32fc2aa81a9,River Severn,Ban Brook,Salford Priors,GB109054044401
0280c29cb322e4b5c87ca90ebd8586c1,Bure catchment,Tidal Bure,Boundary House Reach,""
02834418571bb6604269897dde5ebcae,Wensum catchment,Wensum (central),U/S Costessey Mill,GB105034055881
0283710fe8be555ce8594fa4545fd0bf,River Wharfe tributaries,Fir /Skyreholme Beck,d/s Skyreholme confluence,""
0286afa18f0c1ced2d44d6d53365b277,Mersey,River Kinder,KI01,GB112069060970
0289bda0bdbaf4b6683968b5132b344a,River Coquet,Rowhope Burn,Rowhope Burn 2,GB103022076780
0295db7b444b3860f3c6341efddfd24e,Colne,Colne,Troy House,GB106039023090
02a013e444c39e18b0d168955154cc41,Mersey,Pedley Brook,PE01,GB112069061340
02a13054f9d32594889d97feebf59a20,Weaver,Ash Brook,AS02,GB112068055450
02a151e69b596fb1a064d8ac7e6499a8,Welland Catchment,West Glen,U/S Banthorpe Ford,GB105031050770
02a67a55a929f872f04d707803285546,River Aire catchment,Pitty Beck,d/s Leaventhorpe Lane,GB104027062860
02b08d2231f85184a74ff6d886d8b5a0,River Severn,Warwickshire Avon,Wolston Mill (original site 9),GB109054043920
02b3058124564c1b333bd306cfcbe85d,RIVER TRENT,RIVER TEAN,Litley's Farm,GB104028053090
02b4000fce86d52a1ed9fc95c9e049a2,Somerset Area,Bridgwater / Taunton Canal,Coxland,GB108052021360
02b410d9f421396b9e45e2f9c2e6ef4f,Test,Test,"Freelands House, Wherwell",GB107042022750
02b5e775d09ffe43a7b012f5a1cbd907,River Don catchment,River Don,Millstone Bridge,GB104027057500
02b8be04d342e09ba8873aa8f6b70a61,River Ure Tributaries,"Great Gill, Mossdale","Great Gill, u/s Mossdale",GB104027069500
02bb55f1196d532494311fd4a04e6450,River Ribble,Colne Water,Laneshaw bridge,GB112071065190
02bd0f8e53616da5f4805e26b21d1b90,River Severn,River Lyd,Parkend Playing Fields,GB109054032640
02be569352f81e299de786b7ac42cd01,River Ribble,River Yarrow,Pincock Bridge,GB112070064952
02be60ab18fd2d79e1d7ee3f9bb5afff,Test,Tadburn Lake,Ashdown Way,GB107042016490
02cbf4472935804897a75949f6785152,Camel,Main Stannon,d/s Widewalls Weir,GB108049007040
02d56abc08b4a06f38ad2d9ef8cdb2f6,Witham Catchment,Witham Bargate (upper) Subcatchment,Stapleford,GB105030056780
